	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU510	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	NA
OTU511	Fungi	NA	NA	NA	NA	NA	NA
OTU512	Fungi	NA	NA	NA	NA	NA	NA
OTU513	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU514	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	Sporormiella megalospora
OTU515	Fungi	NA	NA	NA	NA	NA	NA
OTU516	Fungi	NA	NA	NA	NA	NA	NA
OTU517	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA
OTU518	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Acarospora	NA
OTU519	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU520	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Ophiostoma	Ophiostoma nigrocarpum
OTU521	Fungi	NA	NA	NA	NA	NA	NA
OTU522	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU523	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	NA	NA
OTU524	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Rachicladosporium	NA
OTU525	Fungi	NA	NA	NA	NA	NA	NA
OTU526	Fungi	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	NA	NA
OTU527	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	NA
OTU528	Fungi	NA	NA	NA	NA	NA	NA
OTU529	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	Pseudopithomyces chartarum
OTU530	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU531	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces radicus
OTU532	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA
OTU533	Fungi	NA	NA	NA	NA	NA	NA
OTU534	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU535	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	NA	NA	NA
OTU536	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU537	Fungi	NA	NA	NA	NA	NA	NA
OTU538	Fungi	NA	NA	NA	NA	NA	NA
OTU539	Fungi	NA	NA	NA	NA	NA	NA
OTU540	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU541	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU542	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU543	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU544	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU545	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Corticium	NA
OTU546	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU547	Fungi	NA	NA	NA	NA	NA	NA
OTU548	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU549	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella wirthii
OTU550	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU551	Fungi	NA	NA	NA	NA	NA	NA
OTU552	Fungi	NA	NA	NA	NA	NA	NA
OTU553	Fungi	NA	NA	NA	NA	NA	NA
OTU554	Fungi	NA	NA	NA	NA	NA	NA
OTU555	Fungi	NA	NA	NA	NA	NA	NA
OTU557	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	NA
OTU558	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU559	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU560	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU561	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU562	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	Phaeococcomyces	Phaeococcomyces nigricans
OTU563	Fungi	NA	NA	NA	NA	NA	NA
OTU564	Fungi	NA	NA	NA	NA	NA	NA
OTU565	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Physciaceae	Physconia	Physconia isidiigera
OTU566	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	Exophiala sideris
OTU567	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Fonsecazyma	Fonsecazyma mujuensis
OTU568	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU569	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU570	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
OTU572	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Yamadazyma	Yamadazyma scolyti
OTU573	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU574	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Myceliophthora	NA
OTU575	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
OTU577	Fungi	NA	NA	NA	NA	NA	NA
OTU578	Fungi	NA	NA	NA	NA	NA	NA
OTU579	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU580	Fungi	NA	NA	NA	NA	NA	NA
OTU581	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	NA	NA	NA
OTU582	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU583	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Torulaceae	Torula	NA
OTU584	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Crocicreas	NA
OTU585	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Elasticomyces	Elasticomyces elasticus
OTU586	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU587	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Laetiporus	NA
OTU588	Fungi	NA	NA	NA	NA	NA	NA
OTU589	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
OTU590	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU591	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU592	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU593	Fungi	NA	NA	NA	NA	NA	NA
OTU594	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Didymocyrtis	Didymocyrtis cladoniicola
OTU595	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis nigrescens
OTU596	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU597	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	Thyrostroma	NA
OTU598	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
OTU599	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	NA	NA	NA
OTU600	Fungi	NA	NA	NA	NA	NA	NA
OTU601	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	NA
OTU602	Fungi	NA	NA	NA	NA	NA	NA
OTU603	Fungi	NA	NA	NA	NA	NA	NA
OTU604	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU605	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Diutina	Diutina catenulata
OTU606	Fungi	NA	NA	NA	NA	NA	NA
OTU607	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria penicillata
OTU608	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	NA
OTU609	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU610	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
OTU611	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
OTU612	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Melanohalea	Melanohalea elegantula
OTU613	Fungi	NA	NA	NA	NA	NA	NA
OTU614	Fungi	NA	NA	NA	NA	NA	NA
OTU615	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU617	Fungi	NA	NA	NA	NA	NA	NA
OTU618	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora seminiperda
OTU619	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU620	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	Schizothecium inaequale
OTU621	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU622	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU623	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	NA
OTU626	Fungi	Ascomycota	Arthoniomycetes	Lichenostigmatales	Phaeococcomycetaceae	NA	NA
OTU627	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	Diatrype prominens
OTU629	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU630	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Pseudeurotiaceae	Pleuroascus	Pleuroascus nicholsonii
OTU632	Fungi	NA	NA	NA	NA	NA	NA
OTU633	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU634	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU635	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	NA
OTU636	Fungi	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Marchandiobasidium	Marchandiobasidium aurantiacum
OTU637	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU638	Fungi	NA	NA	NA	NA	NA	NA
OTU639	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	NA
OTU640	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU641	Fungi	NA	NA	NA	NA	NA	NA
OTU642	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA
OTU643	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	Udeniomyces puniceus
OTU644	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU645	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
OTU646	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU647	Fungi	NA	NA	NA	NA	NA	NA
OTU648	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU649	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU650	Fungi	NA	NA	NA	NA	NA	NA
OTU651	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU652	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU653	Fungi	Ascomycota	Lecanoromycetes	NA	NA	Sarea	Sarea resinae
OTU654	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU655	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU656	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU657	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU658	Fungi	NA	NA	NA	NA	NA	NA
OTU659	Fungi	NA	NA	NA	NA	NA	NA
OTU660	Fungi	NA	NA	NA	NA	NA	NA
OTU661	Fungi	NA	NA	NA	NA	NA	NA
OTU662	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	NA	NA
OTU663	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia inaequalis
OTU664	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Scytalidium	Scytalidium lignicola
OTU665	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus flavus
OTU666	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU667	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora decipiens
OTU668	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU669	Fungi	NA	NA	NA	NA	NA	NA
OTU671	Fungi	Basidiomycota	Agaricomycetes	Russulales	Bondarzewiaceae	Heterobasidion	NA
OTU672	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
OTU673	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU674	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma halophilum
OTU675	Fungi	NA	NA	NA	NA	NA	NA
OTU676	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU677	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	NA	NA
OTU678	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Drechslera	NA
OTU679	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella encephala
OTU680	Fungi	NA	NA	NA	NA	NA	NA
OTU681	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU682	Fungi	NA	NA	NA	NA	NA	NA
OTU683	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU684	Fungi	NA	NA	NA	NA	NA	NA
OTU685	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU686	Fungi	Ascomycota	Lecanoromycetes	Umbilicariales	Umbilicariaceae	Fulgidea	Fulgidea sierrae
OTU687	Fungi	Ascomycota	Taphrinomycetes	NA	NA	NA	NA
OTU689	Fungi	Ascomycota	Dothideomycetes	Venturiales	NA	NA	NA
OTU690	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	Curvibasidium	NA
OTU691	Fungi	NA	NA	NA	NA	NA	NA
OTU692	Rhizaria	Cercozoa	NA	NA	NA	NA	NA
OTU693	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Sigarispora	NA
OTU694	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU695	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU696	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Atheliaceae	Athelia	NA
OTU697	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU698	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
OTU701	Fungi	NA	NA	NA	NA	NA	NA
OTU702	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU703	Fungi	NA	NA	NA	NA	NA	NA
OTU704	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Donkioporia	Donkioporia expansa
OTU705	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU706	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU707	Fungi	NA	NA	NA	NA	NA	NA
OTU708	Fungi	Basidiomycota	Cystobasidiomycetes	NA	Buckleyzymaceae	Buckleyzyma	Buckleyzyma salicina
OTU709	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU710	Fungi	NA	NA	NA	NA	NA	NA
OTU711	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	NA	NA
OTU712	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU713	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU714	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU715	Fungi	NA	NA	NA	NA	NA	NA
OTU716	Fungi	Basidiomycota	Tremellomycetes	NA	NA	NA	NA
OTU717	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma applanatum
OTU718	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Carbonea	NA
OTU720	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Polycauliona	Polycauliona polycarpa
OTU721	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU722	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU723	Fungi	NA	NA	NA	NA	NA	NA
OTU724	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU725	Fungi	NA	NA	NA	NA	NA	NA
OTU726	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata
OTU727	Fungi	NA	NA	NA	NA	NA	NA
OTU728	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
OTU729	Fungi	NA	NA	NA	NA	NA	NA
OTU730	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Occultifur	NA
OTU731	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU732	Fungi	NA	NA	NA	NA	NA	NA
OTU733	Fungi	NA	NA	NA	NA	NA	NA
OTU734	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Laetiporus	Laetiporus sulphureus
OTU735	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU737	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	NA
OTU738	Fungi	Ascomycota	Sordariomycetes	Trichosphaeriales	Trichosphaeriaceae	Nigrospora	Nigrospora oryzae
OTU740	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU741	Fungi	NA	NA	NA	NA	NA	NA
OTU742	Fungi	NA	NA	NA	NA	NA	NA
OTU743	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU744	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum var erythrostratum
OTU745	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
OTU746	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	NA	NA
OTU747	Fungi	Ascomycota	Sordariomycetes	Coniochaetales	NA	NA	NA
OTU748	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
OTU749	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU750	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU751	Fungi	NA	NA	NA	NA	NA	NA
OTU752	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU753	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	Teichospora pusilla
OTU754	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula diobovata
OTU755	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU756	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU757	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU758	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	NA
OTU759	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU760	Fungi	NA	NA	NA	NA	NA	NA
OTU761	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	Diatrype stigma
OTU762	Fungi	NA	NA	NA	NA	NA	NA
OTU763	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
OTU764	Fungi	NA	NA	NA	NA	NA	NA
OTU765	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	NA	Minimedusa	NA
OTU766	Fungi	NA	NA	NA	NA	NA	NA
OTU767	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU768	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
OTU769	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Parmastomyces	Parmastomyces corticola
OTU770	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU771	Fungi	NA	NA	NA	NA	NA	NA
OTU772	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU773	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	NA	NA
OTU774	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella	Coniella fragariae
OTU775	Fungi	NA	NA	NA	NA	NA	NA
OTU776	Fungi	NA	NA	NA	NA	NA	NA
OTU777	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU778	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Pseudotaeniolina	Pseudotaeniolina globosa
OTU779	Fungi	NA	NA	NA	NA	NA	NA
OTU780	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	NA	NA
OTU781	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU782	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
OTU783	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU784	Fungi	NA	NA	NA	NA	NA	NA
OTU785	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU787	Fungi	NA	NA	NA	NA	NA	NA
OTU788	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Myriangiaceae	Myriangium	Myriangium hispanicum
OTU789	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU790	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	NA	NA
OTU792	Fungi	NA	NA	NA	NA	NA	NA
OTU793	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA
OTU794	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Paraleptosphaeria	Paraleptosphaeria dryadis
OTU795	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU796	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
OTU797	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Anthostomella	Anthostomella pinea
OTU798	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU799	Fungi	NA	NA	NA	NA	NA	NA
OTU800	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU801	Fungi	Ascomycota	Lecanoromycetes	Caliciales	Caliciaceae	Buellia	NA
OTU802	Fungi	NA	NA	NA	NA	NA	NA
OTU803	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	NA
OTU804	Fungi	NA	NA	NA	NA	NA	NA
OTU805	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	NA
OTU806	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU807	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU808	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU809	Fungi	Ascomycota	Leotiomycetes	NA	NA	NA	NA
OTU810	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU811	Fungi	NA	NA	NA	NA	NA	NA
OTU812	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	NA
OTU813	Fungi	NA	NA	NA	NA	NA	NA
OTU814	Fungi	Basidiomycota	Agaricomycetes	Russulales	NA	NA	NA
OTU815	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Stereum	NA
OTU816	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU817	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU818	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Celosporium	NA
OTU819	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU820	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU821	Fungi	NA	NA	NA	NA	NA	NA
OTU822	Fungi	NA	NA	NA	NA	NA	NA
OTU823	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces rugulosus
OTU824	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU825	Fungi	NA	NA	NA	NA	NA	NA
OTU826	Fungi	NA	NA	NA	NA	NA	NA
OTU827	Fungi	NA	NA	NA	NA	NA	NA
OTU828	Fungi	NA	NA	NA	NA	NA	NA
OTU829	Fungi	Basidiomycota	Cystobasidiomycetes	NA	Buckleyzymaceae	Buckleyzyma	NA
OTU830	Fungi	NA	NA	NA	NA	NA	NA
OTU832	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terricola
OTU833	Fungi	NA	NA	NA	NA	NA	NA
OTU834	Fungi	NA	NA	NA	NA	NA	NA
OTU835	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU836	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU837	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Plectosphaerella	NA
OTU838	Fungi	NA	NA	NA	NA	NA	NA
OTU839	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU840	Fungi	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	Placidium	Placidium lacinulatum
OTU841	Fungi	NA	NA	NA	NA	NA	NA
OTU842	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	NA
OTU843	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU844	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU845	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU846	Fungi	Basidiomycota	Agaricomycetes	Agaricales	NA	NA	NA
OTU847	Fungi	NA	NA	NA	NA	NA	NA
OTU848	Fungi	Mucoromycota	NA	NA	NA	NA	NA
OTU849	Fungi	NA	NA	NA	NA	NA	NA
OTU850	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus deserticola
OTU852	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus japonicus
OTU853	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Thielavia	NA
OTU854	Fungi	NA	NA	NA	NA	NA	NA
OTU855	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU856	Fungi	NA	NA	NA	NA	NA	NA
OTU857	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Protomycetaceae	Protomyces	NA
OTU858	Fungi	NA	NA	NA	NA	NA	NA
OTU859	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora seminiperda
OTU860	Fungi	NA	NA	NA	NA	NA	NA
OTU861	Fungi	NA	NA	NA	NA	NA	NA
OTU862	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	NA
OTU863	Fungi	NA	NA	NA	NA	NA	NA
OTU864	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU865	Fungi	Basidiomycota	Agaricomycetes	Russulales	Stereaceae	Acanthophysellum	NA
